algorithm,n_images,CR_max,CR_mean,CR_median,CR_min,CR_stdev,PSNR_max,PSNR_mean,PSNR_median,PSNR_min,PSNR_stdev,PeakRSS_additional_max,PeakRSS_additional_mean,PeakRSS_additional_median,PeakRSS_additional_min,PeakRSS_additional_stdev,PeakRSS_max,PeakRSS_mean,PeakRSS_median,PeakRSS_min,PeakRSS_stdev,SSIM_max,SSIM_mean,SSIM_median,SSIM_min,SSIM_stdev,S_encoded_max,S_encoded_mean,S_encoded_median,S_encoded_min,S_encoded_stdev,S_raw_max,S_raw_mean,S_raw_median,S_raw_min,S_raw_stdev,T_decode_max,T_decode_mean,T_decode_median,T_decode_min,T_decode_stdev,T_enc_max,T_enc_mean,T_enc_median,T_enc_min,T_enc_stdev,T_total_max,T_total_mean,T_total_median,T_total_min,T_total_stdev,bpp_max,bpp_mean,bpp_median,bpp_min,bpp_stdev,saving_percent_max,saving_percent_mean,saving_percent_median,saving_percent_min,saving_percent_stdev
JPEG,1338,57.16456677650707,14.284797265572026,13.165861818168555,4.992923170690414,5.415768449183253,42.80785035300478,33.58071809904697,33.418205102316925,26.68431219525376,2.7575205648603305,4556.0,3.4050822122571,0.0,0.0,124.55342050318549,258764.0,258646.9446935725,258764.0,215592.0,1290.2175953927213,0.9909343107626972,0.9306218859938246,0.936389902542954,0.816473507997881,0.02575495860437789,118132,46539.45067264574,44799.5,10318,15747.995332603294,589824,589824,589824.0,589824,0.0,0.00247428399961791,0.0011295625717491153,0.0010951740000564314,0.0006969450000724464,0.00018787517939488572,0.005072244000075443,0.001018843939467916,0.0009893490000649763,0.0007779450002090016,0.00017301989195114793,0.006777282000257401,0.0021484065112170312,0.0020882049996089336,0.001474890000281448,0.000319879188077935,4.806803385416667,1.8936950957294003,1.8228963216145835,0.4198404947916667,0.6407875704998085,98.25066460503471,92.10960376779417,92.40459865993924,79.97165256076389,2.669948210415869
Huffman,1338,1.6358870956558398,1.0693558449036724,1.051552142572733,0.9997559189650964,0.0623865116449776,,,,,,0.0,0.0,0.0,0.0,0.0,258764.0,258665.84454409566,258764.0,240880.0,716.8818416711745,1.0,1.0,1.0,1.0,0.0,589968,553215.4409566517,560908.0,360553,28428.4920337812,589824,589824,589824.0,589824,0.0,0.2231507760002387,0.11371322727652464,0.11382528349986387,0.08495628900072916,0.007747618068630522,0.518178732999786,0.041223242781016085,0.040389422000089326,0.03750667100030114,0.013331574844820332,0.636608743999659,0.15493647005754071,0.15433145099950707,0.12324976200034143,0.016385938403433786,24.005859375,22.510393919134593,22.823404947916664,14.670939127604166,1.1567583021558105,38.87108696831597,6.206692003605869,4.902479383680552,-0.0244140625,4.819826258982544
LZW,1338,1.9802918948319104,1.114449501780837,1.0725944892518595,0.8630274085649571,0.1636808514389593,,,,,,0.0,0.0,0.0,0.0,0.0,258764.0,258665.84454409566,258764.0,240880.0,716.8818416711745,1.0,1.0,1.0,1.0,0.0,683436,539316.5209267563,549904.0,297847,69935.21233724206,589824,589824,589824.0,589824,0.0,0.010602790999655554,0.0027775122750229014,0.002741366000009293,0.0018666890000531566,0.00039576067436815083,0.012453919000108726,0.0059102103236111205,0.0058313404997534235,0.004533086999799707,0.000583158808943373,0.016728273999888188,0.008687722598634021,0.008574982000027376,0.00650803500047914,0.0007938112818577481,27.80908203125,21.944845415313978,22.375651041666668,12.119425455729166,2.845671074920331,49.50239393446181,8.56314410285842,6.768120659722221,-15.871175130208325,11.856962812168046
Slepian-Wolf,1338,1.032223740880032,1.032223740880032,1.032223740880032,1.032223740880032,0.0,55.82047460449217,36.515787826630195,36.65448231892225,16.143003085804434,5.122243669204023,10388.0,9.823617339312406,0.0,0.0,288.9816623542612,258764.0,258675.66816143497,258764.0,251268.0,558.2670675146542,0.9998033161806569,0.9832473278853086,0.988992057033832,0.761625954206119,0.022487240098229923,571411,571411,571411.0,571411,0.0,589824,589824,589824.0,589824,0.0,3.5019398340000407,1.2536257525074694,1.1773135935000028,0.14179394299935666,0.5693187585162643,0.2038686380001309,0.11095034582960753,0.10924339899975166,0.10664796599940018,0.006204844869559751,3.6132888410002124,1.364576098337077,1.2886590650000471,0.252355845999773,0.5695315834708113,23.250773111979168,23.250773111979168,23.250773111979168,23.250773111979168,0.0,3.121778700086808,3.121778700086808,3.121778700086808,3.121778700086808,0.0
Wyner-Ziv,1338,2.133148164221856,2.133148164221856,2.133148164221856,2.133148164221856,0.0,34.99251723531008,31.908391177480514,32.55962372122135,16.016310042097764,2.5806065551184725,3560.0,3.5426008968609866,0.0,0.0,99.41648781352329,258764.0,258679.21076233184,258764.0,251268.0,526.4470022677742,0.9904750403912707,0.91022696907275,0.9135623610750963,0.719957779053347,0.028692846134583554,276504,276504,276504.0,276504,0.0,589824,589824,589824.0,589824,0.0,3.267340313999739,1.1704102031928292,1.0979311850001068,0.15274262500042823,0.5330789256386371,0.19598448400029156,0.11709166368459979,0.11534304399970097,0.11187055999926088,0.0063852208367289835,3.3845236730003307,1.287501866877429,1.216629772500255,0.2671046240002397,0.5334777097889006,11.2509765625,11.2509765625,11.2509765625,11.2509765625,0.0,53.12093098958333,53.12093098958333,53.12093098958333,53.12093098958333,0.0
