image_id,algorithm,W,H,S_raw,S_encoded,CR,saving_percent,bpp,T_enc,T_decode,T_total,PeakRSS,PeakRSS_additional,PSNR,SSIM,lossless_exact
433,JPEG,512,384,589824,30980,19.038863783085862,94.74758572048611,1.2605794270833333,0.007695277000038914,0.0025883460002660286,0.010283623000304942,211524,4400,36.70559626130406,0.9320469977168262,False
433,Huffman,512,384,589824,554757,1.0632114601528238,5.9453328450520875,22.5731201171875,0.04257488499979445,0.11627075800015518,0.15884564299994963,236884,0,inf,1.0,True
433,LZW,512,384,589824,519211,1.136000585503774,11.971876356336807,21.126749674479168,0.0062783309999758785,0.0028947850000804465,0.009173116000056325,236884,0,inf,1.0,True
433,Slepian-Wolf,512,384,589824,571411,1.032223740880032,3.121778700086808,23.250773111979168,0.11752621100004035,0.6159729800001514,0.7334991910001918,247120,10236,44.82065691133663,0.9972747109252574,False
433,Wyner-Ziv,512,384,589824,276504,2.133148164221856,53.12093098958333,11.2509765625,0.12134521799998765,0.5792572430000291,0.7006024610000168,247120,0,34.43579027825213,0.8908497649718162,False
293,JPEG,384,512,589824,38579,15.288732211825087,93.45923529730904,1.5697835286458333,0.0010077399997499015,0.0010541730002842087,0.00206191300003411,247120,0,34.894093141719516,0.8939642663389308,False
293,Huffman,384,512,589824,527195,1.1187966501958477,10.618252224392366,21.451619466145832,0.03974372300035611,0.10965287500039267,0.14939659800074878,247120,0,inf,1.0,True
293,LZW,384,512,589824,558557,1.0559781723261905,5.301072862413192,22.727742513020832,0.006249175999982981,0.002719492000323953,0.008968668000306934,247120,0,inf,1.0,True
293,Slepian-Wolf,384,512,589824,571411,1.032223740880032,3.121778700086808,23.250773111979168,0.11089259299978949,0.7121437030000379,0.8230362959998274,249216,2096,40.510495681717195,0.99389986693803,False
293,Wyner-Ziv,384,512,589824,276504,2.133148164221856,53.12093098958333,11.2509765625,0.11681667399989237,0.7955277200003366,0.9123443940002289,249216,0,33.343755144763456,0.8727416457886031,False
665,JPEG,512,384,589824,57606,10.238933444432872,90.23335774739584,2.343994140625,0.0010514070004319365,0.00120938500003831,0.0022607920004702464,249216,0,32.51976602416903,0.9247382060524721,False
665,Huffman,512,384,589824,532829,1.1069667754570416,9.663052029079866,21.680867513020832,0.04020266699990316,0.11061759599988363,0.1508202629997868,249216,0,inf,1.0,True
665,LZW,512,384,589824,595164,0.9910276831259955,-0.9053548177083259,24.21728515625,0.006208123000305932,0.0027826729997286748,0.008990796000034607,249216,0,inf,1.0,True
665,Slepian-Wolf,512,384,589824,571411,1.032223740880032,3.121778700086808,23.250773111979168,0.11398540599975604,0.9361504489997969,1.050135854999553,249232,16,36.237620593398454,0.9932769822141653,False
665,Wyner-Ziv,512,384,589824,276504,2.133148164221856,53.12093098958333,11.2509765625,0.11834983299968371,0.9626250159999472,1.080974848999631,249232,0,32.425976325200864,0.9273442403866407,False
600,JPEG,512,384,589824,29947,19.695595552142116,94.92272271050346,1.2185465494791667,0.0009743679997882282,0.00106258899995737,0.0020369569997455983,249232,0,37.38581934990644,0.9496661514371857,False
600,Huffman,512,384,589824,566331,1.0414828077573008,3.983052571614587,23.0440673828125,0.04072587600012412,0.11727905299994745,0.15800492900007157,249232,0,inf,1.0,True
600,LZW,512,384,589824,506795,1.1638315295139061,14.076911078559029,20.621541341145832,0.005508866000127455,0.002688021999802004,0.008196887999929459,249232,0,inf,1.0,True
600,Slepian-Wolf,512,384,589824,571411,1.032223740880032,3.121778700086808,23.250773111979168,0.11469077699985064,0.8472828560002199,0.9619736330000705,249244,12,41.1540657821198,0.9941752873743596,False
600,Wyner-Ziv,512,384,589824,276504,2.133148164221856,53.12093098958333,11.2509765625,0.11645207499987009,0.7677489779998723,0.8842010529997424,249244,0,34.290330516217566,0.9054874936608841,False
754,JPEG,512,384,589824,36710,16.067120675565242,93.77610948350694,1.4937337239583333,0.0009630519998609088,0.0010865709996323858,0.0020496229994932946,249244,0,34.80477991167039,0.9150725012188999,False
754,Huffman,512,384,589824,512656,1.1505258887050966,13.083224826388884,20.860026041666668,0.03830557199989926,0.10914891600032206,0.14745448800022132,249244,0,inf,1.0,True
754,LZW,512,384,589824,528963,1.1150571968171687,10.318501790364587,21.5235595703125,0.006826258999808488,0.0026993299998139264,0.009525588999622414,249244,0,inf,1.0,True
754,Slepian-Wolf,512,384,589824,571411,1.032223740880032,3.121778700086808,23.250773111979168,0.11274368500016863,0.6175130649999119,0.7302567500000805,249244,0,42.12107789970531,0.9960927765984025,False
754,Wyner-Ziv,512,384,589824,276504,2.133148164221856,53.12093098958333,11.2509765625,0.11792475399988689,0.5175594389997968,0.6354841929996837,250676,1432,33.84735993785981,0.8921228413741807,False
78,JPEG,384,512,589824,82989,7.107255178397137,85.92987060546875,3.3768310546875,0.001163824000286695,0.0014084479998928146,0.0025722720001795096,250676,0,28.67126680245836,0.9400748059916358,False
78,Huffman,384,512,589824,574050,1.027478442644369,2.674357096354163,23.358154296875,0.040019833000314975,0.12018888100010372,0.1602087140004187,250676,0,inf,1.0,True
78,LZW,384,512,589824,601473,0.9806325470968772,-1.974995930989576,24.4739990234375,0.0065612700000201585,0.0027867329999935464,0.009348003000013705,250676,0,inf,1.0,True
78,Slepian-Wolf,384,512,589824,571411,1.032223740880032,3.121778700086808,23.250773111979168,0.1119695170000341,2.321776629999931,2.4337461469999653,250676,0,27.669116595582274,0.9653941483921304,False
78,Wyner-Ziv,384,512,589824,276504,2.133148164221856,53.12093098958333,11.2509765625,0.11841346900018834,2.432730784999876,2.5511442540000644,250676,0,26.939831959670943,0.9381223637813507,False
295,JPEG,384,512,589824,49141,12.002686148023036,91.66853162977431,1.9995524088541667,0.001055986000210396,0.0011156020000271383,0.0021715880002375343,250676,0,31.653702133956344,0.9326049259914114,False
295,Huffman,384,512,589824,562733,1.048141836359339,4.593065049913192,22.897664388020832,0.04232550799997625,0.11566543000026286,0.1579909380002391,250676,0,inf,1.0,True
295,LZW,384,512,589824,567119,1.0400356891587128,3.849453396267366,23.076131184895832,0.0059218420001343475,0.002936964000127773,0.00885880600026212,250676,0,inf,1.0,True
295,Slepian-Wolf,384,512,589824,571411,1.032223740880032,3.121778700086808,23.250773111979168,0.11555672399981631,1.6528141039998445,1.7683708279996608,251688,1012,33.27463195202729,0.9808797124915624,False
295,Wyner-Ziv,384,512,589824,276504,2.133148164221856,53.12093098958333,11.2509765625,0.1170050750001792,1.5090791859997807,1.62608426099996,251688,0,31.000311284038343,0.8879286383179412,False
980,JPEG,384,512,589824,47360,12.454054054054055,91.97048611111111,1.9270833333333333,0.0010663779999049439,0.0011567409997041977,0.0022231189996091416,251688,0,32.20377212845219,0.903101212662019,False
980,Huffman,384,512,589824,574002,1.0275643638872338,2.6824951171875,23.356201171875,0.0406226179998157,0.11615491199972894,0.15677752999954464,251688,0,inf,1.0,True
980,LZW,384,512,589824,547793,1.076727888089114,7.126024034288192,22.289754231770832,0.005307467999955406,0.002737051000167412,0.008044519000122818,251688,0,inf,1.0,True
980,Slepian-Wolf,384,512,589824,571411,1.032223740880032,3.121778700086808,23.250773111979168,0.1120515150000756,1.27486842899998,1.3869199440000557,251700,12,37.473476569486586,0.9886232766084294,False
980,Wyner-Ziv,384,512,589824,276504,2.133148164221856,53.12093098958333,11.2509765625,0.11719070400022247,1.184302009000021,1.3014927130002434,251700,0,33.00089007536681,0.9247068621495474,False
840,JPEG,512,384,589824,27552,21.407665505226483,95.32877604166666,1.12109375,0.0009599159998288087,0.0014244779999899038,0.0023843939998187125,251700,0,38.95565456538992,0.9412516446748014,False
840,Huffman,512,384,589824,560278,1.0527345353556627,5.009290907118058,22.797770182291668,0.040975161000005755,0.12539053199998307,0.16636569299998882,251700,0,inf,1.0,True
840,LZW,512,384,589824,609350,0.9679560187084598,-3.310479058159732,24.794514973958332,0.005848873000104504,0.0029258509998726367,0.008774723999977141,251700,0,inf,1.0,True
840,Slepian-Wolf,512,384,589824,571411,1.032223740880032,3.121778700086808,23.250773111979168,0.11351717900015501,0.5671602299998995,0.6806774090000545,251700,0,41.07342176029717,0.9942740765528898,False
840,Wyner-Ziv,512,384,589824,276504,2.133148164221856,53.12093098958333,11.2509765625,0.11767281499987803,0.5156301759998314,0.6333029909997094,251700,0,33.874728017070595,0.87449614792199,False
74,JPEG,384,512,589824,41654,14.160080664522015,92.93789333767361,1.6949055989583333,0.000937178999720345,0.0009897509999063914,0.0019269299996267364,251700,0,35.53188265444991,0.9576677873436173,False
74,Huffman,384,512,589824,570310,1.034216478757167,3.308444552951384,23.205973307291668,0.041997091000212095,0.11630108700001074,0.15829817800022283,251700,0,inf,1.0,True
74,LZW,384,512,589824,520969,1.1321671730947522,11.673821343315971,21.198282877604168,0.005050489000041125,0.0027298190002511546,0.00778030800029228,251700,0,inf,1.0,True
74,Slepian-Wolf,384,512,589824,571411,1.032223740880032,3.121778700086808,23.250773111979168,0.1130917559999034,0.8950172899999416,1.008109045999845,251700,0,38.83464234943975,0.9936224558632532,False
74,Wyner-Ziv,384,512,589824,276504,2.133148164221856,53.12093098958333,11.2509765625,0.12241720400015765,1.0518115579998266,1.1742287619999843,251700,0,32.53063205736478,0.9204076307342426,False
1225,JPEG,384,512,589824,58984,9.999728739997288,89.99972873263889,2.4000651041666665,0.001076861999990797,0.0014840769999864278,0.0025609389999772247,251700,0,31.444825202039862,0.9545597765744533,False
1225,Huffman,384,512,589824,493928,1.1941497546201065,16.258409288194443,20.097981770833332,0.043449190000046656,0.10641931700001805,0.1498685070000647,251700,0,inf,1.0,True
1225,LZW,384,512,589824,476692,1.237327246943519,19.180636935763886,19.396647135416668,0.006728397999722802,0.0027650060001178645,0.009493403999840666,251700,0,inf,1.0,True
1225,Slepian-Wolf,384,512,589824,571411,1.032223740880032,3.121778700086808,23.250773111979168,0.1121996440001567,1.1457211360002475,1.2579207800004042,251700,0,36.08493301454068,0.9930110686867412,False
1225,Wyner-Ziv,384,512,589824,276504,2.133148164221856,53.12093098958333,11.2509765625,0.11593410399973436,1.241850863000309,1.3577849670000433,251700,0,32.2548287882522,0.9257721291474962,False
1021,JPEG,384,512,589824,69388,8.500374704559865,88.23581271701389,2.8234049479166665,0.0011000159997820447,0.0013603140000668645,0.002460329999848909,251700,0,30.38578233007508,0.9281472812189341,False
1021,Huffman,384,512,589824,512297,1.1513321374124774,13.144090440538193,20.845418294270832,0.03846097999985432,0.11262623899983737,0.15108721899969169,251700,0,inf,1.0,True
1021,LZW,384,512,589824,574079,1.0274265388561505,2.669440375434029,23.359334309895832,0.007348832999923616,0.003122457000245049,0.010471290000168665,251700,0,inf,1.0,True
1021,Slepian-Wolf,384,512,589824,571411,1.032223740880032,3.121778700086808,23.250773111979168,0.11456230299972958,1.5240174529999422,1.6385797559996718,251732,32,30.96886750588436,0.982526414012796,False
1021,Wyner-Ziv,384,512,589824,276504,2.133148164221856,53.12093098958333,11.2509765625,0.11633909900001527,1.146501330999854,1.2628404299998692,251732,0,29.233458846103787,0.9051218049256549,False
165,JPEG,512,384,589824,44643,13.212015321550972,92.43113199869791,1.8165283203125,0.0009821850003390864,0.0011783600002672756,0.002160545000606362,251732,0,31.031121812488067,0.8474934483871394,False
165,Huffman,512,384,589824,512075,1.1518312747156179,13.181728786892366,20.836385091145832,0.03976234400033718,0.10706641499973557,0.14682875900007275,251732,0,inf,1.0,True
165,LZW,512,384,589824,501379,1.1764034792043543,14.995151095920134,20.401163736979168,0.006159473000025173,0.003116731999853073,0.009276204999878246,251732,0,inf,1.0,True
165,Slepian-Wolf,512,384,589824,571411,1.032223740880032,3.121778700086808,23.250773111979168,0.11259409900003448,0.844419427000048,0.9570135260000825,251784,52,36.533617789077184,0.9924200363584014,False
165,Wyner-Ziv,512,384,589824,276504,2.133148164221856,53.12093098958333,11.2509765625,0.11871297000016057,0.7617984869998509,0.8805114570000114,251784,0,31.877645389364744,0.929653089927967,False
645,JPEG,384,512,589824,49738,11.858619164421569,91.56731499565971,2.0238444010416665,0.0010167659997932788,0.001162523999937548,0.002179289999730827,251784,0,33.43812679688439,0.9333892742603783,False
645,Huffman,384,512,589824,571684,1.0317308163251027,3.075493706597221,23.261881510416668,0.04065743000001021,0.11842257199987216,0.15908000199988237,251784,0,inf,1.0,True
645,LZW,384,512,589824,604823,0.9752010092208795,-2.542961968315982,24.610310872395832,0.0061384660002659075,0.003033709000192175,0.009172175000458083,251784,0,inf,1.0,True
645,Slepian-Wolf,384,512,589824,571411,1.032223740880032,3.121778700086808,23.250773111979168,0.11279213699981483,1.0249983599996995,1.1377904969995143,251784,0,38.50108669378368,0.9919882376990324,False
645,Wyner-Ziv,384,512,589824,276504,2.133148164221856,53.12093098958333,11.2509765625,0.11751527300020825,1.0614109489997645,1.1789262219999728,251784,0,32.88778127039514,0.9216769506950317,False
227,JPEG,512,384,589824,28665,20.576452119309263,95.14007568359375,1.1663818359375,0.0019848990000355116,0.0009662160000516451,0.0029511150000871567,251784,0,38.38606017854302,0.9556522193487895,False
227,Huffman,512,384,589824,547575,1.0771565538967265,7.1629842122395875,22.2808837890625,0.04048753899996882,0.113125649000267,0.15361318800023582,251784,0,inf,1.0,True
227,LZW,512,384,589824,477765,1.2345483658283884,18.99871826171875,19.4403076171875,0.005971668999791291,0.0027602290001595975,0.008731897999950888,251784,0,inf,1.0,True
227,Slepian-Wolf,512,384,589824,571411,1.032223740880032,3.121778700086808,23.250773111979168,0.11395396299985805,0.9752661010002157,1.0892200640000738,251896,112,37.22706190731354,0.9915546210070493,False
227,Wyner-Ziv,512,384,589824,276504,2.133148164221856,53.12093098958333,11.2509765625,0.11995066500003304,0.8936722629996439,1.013622927999677,251896,0,33.5436117939334,0.8803292512045996,False
