algorithm,n_images,CR_max,CR_mean,CR_median,CR_min,CR_stdev,PSNR_max,PSNR_mean,PSNR_median,PSNR_min,PSNR_stdev,PeakRSS_additional_max,PeakRSS_additional_mean,PeakRSS_additional_median,PeakRSS_additional_min,PeakRSS_additional_stdev,PeakRSS_max,PeakRSS_mean,PeakRSS_median,PeakRSS_min,PeakRSS_stdev,SSIM_max,SSIM_mean,SSIM_median,SSIM_min,SSIM_stdev,S_encoded_max,S_encoded_mean,S_encoded_median,S_encoded_min,S_encoded_stdev,S_raw_max,S_raw_mean,S_raw_median,S_raw_min,S_raw_stdev,T_decode_max,T_decode_mean,T_decode_median,T_decode_min,T_decode_stdev,T_enc_max,T_enc_mean,T_enc_median,T_enc_min,T_enc_stdev,T_total_max,T_total_mean,T_total_median,T_total_min,T_total_stdev,bpp_max,bpp_mean,bpp_median,bpp_min,bpp_stdev,saving_percent_max,saving_percent_mean,saving_percent_median,saving_percent_min,saving_percent_stdev
JPEG,15,21.407665505226483,14.107211817807524,13.212015321550972,7.107255178397137,4.481943623566725,38.95565456538992,33.86748328623377,33.43812679688439,28.67126680245836,3.0955019503818573,4400,293.3333333333333,0,0,1136.075114887509,251784,248098.4,251688,211524,10215.255348182513,0.9576677873436173,0.9272953666144996,0.9326049259914114,0.8474934483871394,0.028831679935098345,82989,46262.4,44643,27552,15877.563054286926,589824,589824,589824,589824,0.0,0.0025883460002660286,0.001283171666667234,0.001162523999937548,0.0009662160000516451,0.00039522246931907913,0.007695277000038914,0.0015357236666507863,0.0010514070004319365,0.000937178999720345,0.0017228076877033557,0.010283623000304942,0.0028188953333180204,0.0022231189996091416,0.0019269299996267364,0.0020819659976526483,3.3768310546875,1.882421875,1.8165283203125,1.12109375,0.6460596945917532,95.32877604166666,92.15657552083333,92.43113199869791,85.92987060546875,2.691915394132304
Huffman,15,1.1941497546201065,1.0851546517494608,1.0632114601528238,1.027478442644369,0.05577494392412427,,,,,,0,0,0,0,0.0,251784,249789.06666666668,251688,236884,3837.046026505782,1.0,1.0,1.0,1.0,0.0,574050,544846.6666666666,554757,493928,27275.305709080687,589824,589824,589824,589824,0.0,0.12539053199998307,0.11428868213336803,0.11566543000026286,0.10641931700001805,0.005189554189747111,0.043449190000046656,0.0406873611333746,0.0406226179998157,0.03830557199989926,0.0014336520639609757,0.16636569299998882,0.15497604326674264,0.15677752999954464,0.14682875900007275,0.0055798548696738524,23.358154296875,22.16986762152778,22.5731201171875,20.097981770833332,1.1098350304801716,16.258409288194443,7.6255515769675934,5.9453328450520875,2.674357096354163,4.624312627000713
LZW,15,1.237327246943519,1.0873547415658829,1.076727888089114,0.9679560187084598,0.09161606040318442,,,,,,0,0,0,0,0.0,251784,249789.06666666668,251688,236884,3837.046026505782,1.0,1.0,1.0,1.0,0.0,609350,546008.8,547793,476692,45501.330748514534,589824,589824,589824,589824,0.0,0.003122457000245049,0.002846590200048619,0.0027826729997286748,0.002688021999802004,0.0001491081198343222,0.007348832999923616,0.006140502400012337,0.006159473000025173,0.005050489000041125,0.000593484845909714,0.010471290000168665,0.008987092600060956,0.008990796000034607,0.00778030800029228,0.000661605554463062,24.794514973958332,22.217154947916665,22.289754231770832,19.396647135416668,1.8514538878790088,19.180636935763886,7.428521050347221,7.126024034288192,-3.310479058159732,7.714391199495872
Slepian-Wolf,15,1.032223740880032,1.032223740880032,1.032223740880032,1.032223740880032,0.0,44.82065691133663,37.49898486704733,37.473476569486586,27.669116595582274,4.42940851313285,10236,905.3333333333334,12,0,2644.609684046472,251896,250694.4,251700,247120,1493.6856047087974,0.9972747109252574,0.9899342447815,0.9930110686867412,0.9653941483921304,0.008160967573081475,571411,571411,571411,571411,0.0,589824,589824,589824,589824,0.0,2.321776629999931,1.0636748141999912,0.9361504489997969,0.5671602299998995,0.4714469565052921,0.11752621100004035,0.1134751672666122,0.1130917559999034,0.11089259299978949,0.0016563742435052754,2.4337461469999653,1.1771499814666033,1.050135854999553,0.6806774090000545,0.47125903520881535,23.250773111979168,23.250773111979168,23.250773111979168,23.250773111979168,0.0,3.121778700086808,3.121778700086808,3.121778700086808,3.121778700086808,0.0
Wyner-Ziv,15,2.133148164221856,2.133148164221856,2.133148164221856,2.133148164221856,0.0,34.43579027825213,32.3657954455903,32.88778127039514,26.939831959670943,2.01562914408515,1432,95.46666666666667,0,0,369.74081011793476,251896,250789.86666666667,251700,247120,1439.1297899706449,0.9381223637813507,0.9064507236658631,0.9054874936608841,0.8727416457886031,0.021950245600630663,276504,276504,276504,276504,0.0,589824,589824,589824,589824,0.0,2.432730784999876,1.0281004001999159,0.9626250159999472,0.5156301759998314,0.4803266345809339,0.12241720400015765,0.1181359954666732,0.11767281499987803,0.11593410399973436,0.001848684314225614,2.5511442540000644,1.146236395666589,1.080974848999631,0.6333029909997094,0.48008238221289246,11.2509765625,11.2509765625,11.2509765625,11.2509765625,0.0,53.12093098958333,53.12093098958333,53.12093098958333,53.12093098958333,0.0
