algorithm,psnr,ssim,edge_preservation,iou,dice_coefficient,precision,recall,compression_ratio,execution_time,cpu_usage,memory_usage_mb,performance_score
Adaptive Thresholding,11.7248,0.3818,0.2316,0.4887,0.6459,0.7472,0.5978,0.0,0.0016,98.4967,0.0003,94.9047
K-Means,23.6219,0.6906,0.2699,0.466,0.6002,0.7861,0.5055,0.0,0.3434,99.1912,0.0033,65.9496
MobileNet-Seg,9.605,0.2016,0.2095,0.1498,0.2019,0.4151,0.1812,0.0,0.3082,99.2483,0.2974,66.1214
Otsu,15.3144,0.5567,0.3423,0.537,0.6716,0.778,0.6311,0.0,0.0017,108.0994,0.0002,94.1918
Region Growing,7.3997,0.0678,0.0496,0.1193,0.1696,0.5708,0.1284,0.0,0.0225,105.208,0.0058,80.3679
Split and Merge,15.3144,0.5567,0.3423,0.537,0.6716,0.778,0.6311,0.0,0.0192,102.1545,0.0,72.0917
