timestamp,algorithm,image_id,mode,input_size_bytes,output_size_bytes,compression_ratio,gate_decision,gate_d_hist,gate_d_mean,gate_p_blocks,capture_time_ms,compression_time_ms,total_pipeline_time_ms,cpu_freq_hz,cpu_temp_c,ram_used_mb,energy_mj,psnr_db,ssim,psnr_db_veg,ssim_veg,psnr_db_bg,ssim_bg
1788700086.95271,algo/agrijpeg-core,img_0001,TEST,2231989,223373,9.99220586194392,True,0,0,0,0.0281333923339844,10531.6109657288,10533.6720943451,1000000000,53.154,195.9921875,0,39.4884067312942,0.949686351388356,39.5444462041201,0.949974515477231,34.9779346059047,0.905972651428069
1788700098.86238,algo/agrijpeg-core,img_0002,TEST,2275749,221003,10.2973670040678,True,0,0,0,0.0281333923339844,10155.0438404083,10173.513174057,1000000000,53.154,172.8046875,0,39.5484629933512,0.947261068545752,39.6467918382835,0.947728298764703,34.844381564832,0.904340512574618
1788700111.09883,algo/agrijpeg-core,img_0003,TEST,2373199,232183,10.2212435880319,True,0,0,0,0.0965595245361328,10403.8491249084,10422.9979515076,1000000000,53.692,179.9609375,0,38.9802165040866,0.943183271921998,39.1303302800002,0.943989851699449,34.6363697130687,0.900093199292732
1788700123.42207,algo/agrijpeg-core,img_0004,TEST,2441907,241680,10.1038853028798,True,0,0,0,0.0553131103515625,10497.6985454559,10517.5716876984,1000000000,54.23,180.96875,0,38.2971137166576,0.94220454127074,38.3863224459946,0.94724566973511,38.0358648665732,0.926711568173045
1788700135.67372,algo/agrijpeg-core,img_0005,TEST,2523519,253406,9.95840272132467,True,0,0,0,0.101566314697266,10435.248374939,10454.4904232025,1000000000,54.23,171.84765625,0,37.849649312789,0.937883416225764,38.0339603961477,0.94402268930182,37.3024861617975,0.917820296480922
1788700148.0533,algo/agrijpeg-core,img_0006,TEST,2228790,219170,10.1692293653328,True,0,0,0,0.06103515625,10454.0333747864,10473.3669757843,1000000000,54.23,172.8984375,0,39.7988313185442,0.949290610858254,40.0189351709932,0.950703520879125,36.1696122602292,0.910567245308475
1788700160.34466,algo/agrijpeg-core,img_0007,TEST,2474543,246152,10.0529063342975,True,0,0,0,0.0643730163574219,10457.4460983276,10476.5083789825,1000000000,54.768,170.94140625,0,38.2804982262438,0.939130526259657,38.4404160335804,0.940194692937564,34.12343544832,0.889399722841365
1788700172.65871,algo/agrijpeg-core,img_0008,TEST,2449617,243051,10.0786131305775,True,0,0,0,0.0755786895751953,10533.5533618927,10550.7633686066,1000000000,54.768,172.0546875,0,38.5122055746104,0.940872570213921,38.6225947445792,0.941717125877287,34.3712410578803,0.88619671899293
1788700185.13564,algo/agrijpeg-core,img_0009,TEST,2507491,248751,10.0803253052249,True,0,0,0,0.0536441802978516,10526.3159275055,10542.9518222809,1000000000,55.306,184.72265625,0,38.1880027377307,0.93806525769648,38.4028355882791,0.939863407575806,34.485754877408,0.886299990650995
1788700197.56307,algo/agrijpeg-core,img_0010,TEST,2515256,249647,10.0752502533577,True,0,0,0,0.0526905059814453,10506.4532756805,10524.614572525,1000000000,55.306,180.53125,0,38.1648179675759,0.937839079586593,38.3830462330592,0.939657313085249,34.5058554575401,0.887196224859542
1788700209.89903,algo/agrijpeg-core,img_0011,TEST,2507528,249009,10.0700295973238,True,0,0,0,5.02371788024902,10486.3913059235,10509.2303752899,1000000000,55.844,190.6328125,0,38.203369540692,0.938197232900281,38.416495683598,0.93990630831274,34.4503815438389,0.886862367411825
1788700222.48029,algo/agrijpeg-core,img_0018,TEST,2612122,248463,10.5131226782257,True,0,0,0,0.0543594360351563,10472.2743034363,10490.7982349396,1000000000,55.844,188.0859375,0,36.90692702127,0.929141949031284,36.7625043439522,0.931639830658961,37.2112067289247,0.924105659700013
1788700234.88638,algo/agrijpeg-core,img_0019,TEST,2536185,233592,10.8573281619234,True,0,0,0,0.0553131103515625,10493.0799007416,10510.9112262726,1000000000,55.844,186.078125,0,37.8267608850272,0.934475131276371,37.8949515232149,0.93899361072009,37.7170003828702,0.926988560819442
1788700247.13122,algo/agrijpeg-core,img_0020,TEST,2496031,232514,10.7349707974574,True,0,0,0,0.0524520874023438,10442.5702095032,10461.0760211945,1000000000,55.844,185.45703125,0,37.5559749129051,0.939041311837849,37.9185562380975,0.945151871446413,37.0747520482757,0.930016095096357
1788700259.43307,algo/agrijpeg-core,img_0021,TEST,2584303,247296,10.4502418154762,True,0,0,0,0.08392333984375,10484.6405982971,10503.3841133118,1000000000,56.382,191.265625,0,37.1390317767246,0.9365225419983,37.9937954058213,0.946610372803344,35.8239035634981,0.916308523053328
