timestamp,algorithm,image_id,mode,input_size_bytes,output_size_bytes,compression_ratio,gate_decision,gate_d_hist,gate_d_mean,gate_p_blocks,capture_time_ms,compression_time_ms,total_pipeline_time_ms,cpu_freq_hz,cpu_temp_c,ram_used_mb,energy_mj,psnr_db,ssim,psnr_db_veg,ssim_veg,psnr_db_bg,ssim_bg
1785612071.7603548,algo/jpeg-qveg-qbg,img_0001,TEST,2231989,210497,10.603424276830548,True,0.0,0.0,0.0,0.027418136596679688,10136.666536331177,10139.193773269653,1000000000,45.084,183.546875,0.0,38.93906029346511,0.9461568489835351,38.98372870850399,0.9464468527421727,35.035472487495404,0.9021640761785538
1785612087.0364833,algo/jpeg-qveg-qbg,img_0002,TEST,2275749,209417,10.867069053610738,True,0.0,0.0,0.0,0.06222724914550781,10316.745519638062,10337.5403881073,1000000000,45.084,169.046875,0.0,38.856566591336914,0.9420861087775582,38.95906883147947,0.9426911412827254,34.03363080453223,0.886506802369145
1785612101.8124137,algo/jpeg-qveg-qbg,img_0003,TEST,2373199,221947,10.692638332574894,True,0.0,0.0,0.0,0.07772445678710938,10143.54920387268,10164.64900970459,1000000000,45.622,169.26171875,0.0,38.25596654387604,0.9363723400336833,38.39203614633548,0.9372670270959983,34.1726442366512,0.8885752943186956
1785612116.5866687,algo/jpeg-qveg-qbg,img_0004,TEST,2441907,236713,10.315897310244896,True,0.0,0.0,0.0,0.07176399230957031,10172.357320785522,10193.314552307129,1000000000,46.16,163.0,0.0,37.18960659321091,0.9273012107844686,37.18282498388287,0.9315732085098821,37.210352696746824,0.9141720183226943
1785612131.5173936,algo/jpeg-qveg-qbg,img_0005,TEST,2523519,247257,10.20605685582208,True,0.0,0.0,0.0,0.04887580871582031,10357.530117034912,10378.283500671387,1000000000,46.698,158.19921875,0.0,36.79390138032766,0.9225231962592648,36.89539540241529,0.928335743509909,36.48126204792049,0.9035278151990817
1785612146.4537992,algo/jpeg-qveg-qbg,img_0006,TEST,2228790,209612,10.632931320725913,True,0.0,0.0,0.0,0.049114227294921875,10340.407848358154,10360.910177230835,1000000000,46.698,168.609375,0.0,38.889704133423486,0.9424118800805381,39.08445302707975,0.9439813073058124,35.54677355006251,0.8993988762442515
1785612161.6094816,algo/jpeg-qveg-qbg,img_0007,TEST,2474543,232668,10.635510684752523,True,0.0,0.0,0.0,0.051975250244140625,10345.409154891968,10365.915060043335,1000000000,47.236,163.71484375,0.0,37.60845196563925,0.9332382097081818,37.75258076553598,0.9344349646939776,33.719269525819065,0.8773112687749093
1785612176.7729886,algo/jpeg-qveg-qbg,img_0008,TEST,2449617,229204,10.687496727805797,True,0.0,0.0,0.0,0.07867813110351562,10350.698471069336,10371.026515960693,1000000000,47.236,161.32421875,0.0,37.906843383720876,0.9353222035687715,38.01747031839608,0.9363022601706318,33.760206344695966,0.871874131078325
1785612192.0215585,algo/jpeg-qveg-qbg,img_0009,TEST,2507491,234895,10.674944123970285,True,0.0,0.0,0.0,0.07843971252441406,10342.864751815796,10362.666130065918,1000000000,47.774,163.76953125,0.0,37.48246403317197,0.9315592406067784,37.67950080260286,0.9335640706680816,33.986772944537115,0.8738440497334219
1785612207.270004,algo/jpeg-qveg-qbg,img_0010,TEST,2515256,235424,10.683940464863396,True,0.0,0.0,0.0,0.0896453857421875,10329.74123954773,10349.471092224121,1000000000,47.236,161.06640625,0.0,37.45977722096763,0.9313181833198744,37.664918419994514,0.9333997138282667,33.948097273961665,0.8733417753258713
1785612222.4272783,algo/jpeg-qveg-qbg,img_0011,TEST,2507528,235137,10.664114962766387,True,0.0,0.0,0.0,0.04553794860839844,10336.437463760376,10355.632781982422,1000000000,47.236,157.33203125,0.0,37.502052174996024,0.9315615555739566,37.70846836682145,0.9335466014430231,33.82700543450239,0.87193746764076
1785612237.6806161,algo/jpeg-qveg-qbg,img_0012,TEST,3012015,279215,10.78743978654442,True,0.0,0.0,0.0,0.0457763671875,10330.095529556274,10349.308967590332,1000000000,48.312,159.2890625,0.0,34.45205150820238,0.8905204541582674,34.08314756413534,0.8928552516556242,35.01123643403828,0.887362966843181
1785612252.9387207,algo/jpeg-qveg-qbg,img_0013,TEST,3067368,288159,10.644706568248779,True,0.0,0.0,0.0,0.0438690185546875,10334.92136001587,10353.870630264282,1000000000,48.312,163.23828125,0.0,34.68146509648106,0.9013236016402707,34.79165394110445,0.9110684375820298,34.51453606324628,0.8861917296228498
1785612268.195078,algo/jpeg-qveg-qbg,img_0014,TEST,3024059,288789,10.471517266931912,True,0.0,0.0,0.0,0.04410743713378906,10333.832025527954,10352.78344154358,1000000000,48.85,153.36328125,0.0,34.73367471638412,0.9056762809342137,34.96880862715948,0.9156407325762626,34.37180050590601,0.8893299651392762
1785612283.3564544,algo/jpeg-qveg-qbg,img_0015,TEST,3162999,302893,10.442628254862278,True,0.0,0.0,0.0,0.04673004150390625,10336.069822311401,10355.335235595703,1000000000,49.388,152.0546875,0.0,33.95432312136238,0.8943359674250978,34.28058383549938,0.9062613812184247,33.463112294940245,0.8747208902651402
