timestamp,algorithm,image_id,mode,input_size_bytes,output_size_bytes,compression_ratio,gate_decision,gate_d_hist,gate_d_mean,gate_p_blocks,capture_time_ms,compression_time_ms,total_pipeline_time_ms,cpu_freq_hz,cpu_temp_c,ram_used_mb,energy_mj,psnr_db,ssim
1785327017.3301706,algo/jpeg-baseline,img_0001,TEST,2231989,170232,13.111453780722778,True,0.0,0.0,0.0,0.05841255187988281,1190.4771327972412,1190.6709671020508,0,0.0,0.0,0.0,39.913022543840825,0.9545269735292536
1785327019.7128434,algo/jpeg-baseline,img_0002,TEST,2275749,169311,13.441235359781704,True,0.0,0.0,0.0,0.06937980651855469,395.9643840789795,396.1358070373535,0,0.0,0.0,0.0,39.942095871822254,0.9521655374190986
1785327021.6700432,algo/jpeg-baseline,img_0003,TEST,2373199,183822,12.910309973778983,True,0.0,0.0,0.0,0.04482269287109375,368.3803081512451,368.5142993927002,0,0.0,0.0,0.0,39.522770790067455,0.9495065791326818
1785327023.5262973,algo/jpeg-baseline,img_0004,TEST,2441907,204422,11.945421725645968,True,0.0,0.0,0.0,0.04553794860839844,371.1385726928711,371.2742328643799,0,0.0,0.0,0.0,39.09662645650617,0.9511452463968371
1785327025.6651924,algo/jpeg-baseline,img_0005,TEST,2523519,217592,11.597480605904629,True,0.0,0.0,0.0,0.07176399230957031,409.3954563140869,409.5723628997803,0,0.0,0.0,0.0,38.75521574379503,0.9485663759050805
1785327027.7570794,algo/jpeg-baseline,img_0006,TEST,2228790,168297,13.243195065865702,True,0.0,0.0,0.0,0.04863739013671875,368.32356452941895,368.46041679382324,0,0.0,0.0,0.0,40.1265955985606,0.9541132681264474
1785327029.8293757,algo/jpeg-baseline,img_0007,TEST,2474543,196934,12.56534168807824,True,0.0,0.0,0.0,0.04649162292480469,370.525598526001,370.65744400024414,0,0.0,0.0,0.0,38.76405390944269,0.9459910222897286
1785327031.9533873,algo/jpeg-baseline,img_0008,TEST,2449617,191623,12.78352285477213,True,0.0,0.0,0.0,0.07867813110351562,413.9599800109863,414.14833068847656,0,0.0,0.0,0.0,38.9224484367312,0.9469130829795134
1785327034.0825157,algo/jpeg-baseline,img_0009,TEST,2507491,199941,12.541154640618982,True,0.0,0.0,0.0,0.046253204345703125,370.99647521972656,371.11377716064453,0,0.0,0.0,0.0,38.687310366948225,0.94528922332547
1785327036.294067,algo/jpeg-baseline,img_0010,TEST,2515256,200894,12.52031419554591,True,0.0,0.0,0.0,0.04220008850097656,370.58305740356445,370.68939208984375,0,0.0,0.0,0.0,38.67351288845749,0.9451229069151234
1785327038.3455012,algo/jpeg-baseline,img_0011,TEST,2507528,199667,12.558549985726234,True,0.0,0.0,0.0,0.07033348083496094,400.93088150024414,401.08251571655273,0,0.0,0.0,0.0,38.687493686967436,0.9453212282861153
1785327040.448587,algo/jpeg-baseline,img_0012,TEST,3012015,275881,10.917805140622225,True,0.0,0.0,0.0,0.044345855712890625,376.8000602722168,376.9087791442871,0,0.0,0.0,0.0,36.831000896764664,0.9338161818340721
1785327042.6080174,algo/jpeg-baseline,img_0013,TEST,3067368,286534,10.70507513942499,True,0.0,0.0,0.0,0.042438507080078125,383.26215744018555,383.36896896362305,0,0.0,0.0,0.0,37.13591226851896,0.9402916427137962
1785327044.7598581,algo/jpeg-baseline,img_0014,TEST,3024059,282715,10.696492934580762,True,0.0,0.0,0.0,0.06866455078125,411.43226623535156,411.5779399871826,0,0.0,0.0,0.0,37.30943104638834,0.9444637972451275
1785327046.8668249,algo/jpeg-baseline,img_0015,TEST,3162999,306558,10.317783257980546,True,0.0,0.0,0.0,0.15044212341308594,384.53102111816406,384.7501277923584,0,0.0,0.0,0.0,36.34939610309159,0.9357710881951827
1785327048.9482262,algo/jpeg-baseline,img_0016,TEST,3147269,304068,10.350543299525107,True,0.0,0.0,0.0,0.12159347534179688,379.63104248046875,379.854679107666,0,0.0,0.0,0.0,36.35556691927966,0.9359232743562638
1785327051.0564697,algo/jpeg-baseline,img_0017,TEST,2929589,261182,11.216657350047093,True,0.0,0.0,0.0,0.0705718994140625,410.48550605773926,410.6316566467285,0,0.0,0.0,0.0,37.37819170609845,0.9350895472846914
1785327053.13412,algo/jpeg-baseline,img_0018,TEST,2612122,216345,12.073872749543552,True,0.0,0.0,0.0,0.07390975952148438,370.5453872680664,370.69106101989746,0,0.0,0.0,0.0,37.98160409174593,0.9407911066243718
1785327055.2119026,algo/jpeg-baseline,img_0019,TEST,2536185,204105,12.425883736312192,True,0.0,0.0,0.0,0.1800060272216797,370.7447052001953,370.9909915924072,0,0.0,0.0,0.0,38.848248082235145,0.9452514420462093
1785327057.4378138,algo/jpeg-baseline,img_0020,TEST,2496031,204050,12.232447929429062,True,0.0,0.0,0.0,0.07033348083496094,406.247615814209,406.39567375183105,0,0.0,0.0,0.0,38.82386325340907,0.9503563522273577
1785327059.6143546,algo/jpeg-baseline,img_0021,TEST,2584303,218764,11.81320052659487,True,0.0,0.0,0.0,0.0438690185546875,372.1179962158203,372.225284576416,0,0.0,0.0,0.0,38.493944045693624,0.9493960591811388
1785327061.6856441,algo/jpeg-baseline,img_0022,TEST,2666833,232202,11.484969983032014,True,0.0,0.0,0.0,0.04673004150390625,372.8597164154053,372.9715347290039,0,0.0,0.0,0.0,38.04273050478022,0.9473599034858594
1785327064.4760418,algo/jpeg-baseline,img_0023,TEST,2527898,207039,12.209767241920604,True,0.0,0.0,0.0,0.09322166442871094,399.1045951843262,399.2810249328613,0,0.0,0.0,0.0,38.863442762813925,0.9507930891794071
