timestamp,algorithm,image_id,mode,input_size_bytes,output_size_bytes,compression_ratio,gate_decision,gate_d_hist,gate_d_mean,gate_p_blocks,capture_time_ms,compression_time_ms,total_pipeline_time_ms,cpu_freq_hz,cpu_temp_c,ram_used_mb,energy_mj,psnr_db,ssim
1788808126.0444255,algo/agrijpeg-light,img_0001,TEST,2231989,157759,14.148092977262786,True,0.0,0.0,0.0,0.026702880859375,505.4664611816406,505.6021213531494,1000000000,60.686,180.16796875,0.0,39.75106943164273,0.9511664592500995
1788808128.495023,algo/agrijpeg-light,img_0002,TEST,2275749,156000,14.588134615384615,True,0.0,0.0,0.0,0.027179718017578125,496.95467948913574,497.0705509185791,1000000000,60.148,180.2421875,0.0,39.78652512371642,0.9487269618957868
1788808130.6412363,algo/agrijpeg-light,img_0003,TEST,2373199,168811,14.05831965926391,True,0.0,0.0,0.0,0.04267692565917969,548.0437278747559,548.1939315795898,1000000000,60.148,180.16796875,0.0,39.32141067751763,0.9458175318377554
1788808132.642279,algo/agrijpeg-light,img_0004,TEST,2441907,189812,12.864871557119676,True,0.0,0.0,0.0,0.0286102294921875,507.9197883605957,508.0375671386719,1000000000,60.148,180.7109375,0.0,38.87993347009847,0.9479922235912549
1788808134.5766273,algo/agrijpeg-light,img_0005,TEST,2523519,201998,12.492792007841661,True,0.0,0.0,0.0,0.029087066650390625,512.9988193511963,513.1182670593262,1000000000,60.148,186.0859375,0.0,38.50601499910336,0.9448872565014468
1788808136.6563148,algo/agrijpeg-light,img_0006,TEST,2228790,154701,14.40708204859697,True,0.0,0.0,0.0,0.09179115295410156,554.6107292175293,554.8081398010254,1000000000,60.148,174.796875,0.0,40.0423080010185,0.9509665536457398
1788808138.4818854,algo/agrijpeg-light,img_0007,TEST,2474543,182415,13.565457884494148,True,0.0,0.0,0.0,0.05435943603515625,534.7607135772705,534.8994731903076,1000000000,60.148,171.8359375,0.0,38.66474328519977,0.9424783216302496
1788808140.5457256,algo/agrijpeg-light,img_0008,TEST,2449617,177974,13.763903716273164,True,0.0,0.0,0.0,0.05316734313964844,529.7982692718506,529.9391746520996,1000000000,60.148,174.35546875,0.0,38.85296464413836,0.9438030694365648
1788808142.6406794,algo/agrijpeg-light,img_0009,TEST,2507491,185697,13.503131445311448,True,0.0,0.0,0.0,0.5464553833007812,590.4428958892822,591.0696983337402,1000000000,60.148,174.484375,0.0,38.59591355667418,0.941781674079313
1788808144.7206101,algo/agrijpeg-light,img_0010,TEST,2515256,186649,13.475861108283462,True,0.0,0.0,0.0,0.05698204040527344,531.5194129943848,531.6402912139893,1000000000,60.148,174.41796875,0.0,38.57711386893478,0.941647807940937
1788808146.6191363,algo/agrijpeg-light,img_0011,TEST,2507528,185689,13.503912455772824,True,0.0,0.0,0.0,2.6674270629882812,527.7600288391113,530.5056571960449,1000000000,60.148,177.609375,0.0,38.606606097849614,0.9419184678081584
1788808148.814188,algo/agrijpeg-light,img_0018,TEST,2612122,202564,12.895292352046761,True,0.0,0.0,0.0,0.08296966552734375,566.2262439727783,566.3845539093018,1000000000,60.148,179.234375,0.0,37.75465094249527,0.9377443639871528
1788808150.672862,algo/agrijpeg-light,img_0019,TEST,2536185,189200,13.404783298097252,True,0.0,0.0,0.0,0.06699562072753906,533.5526466369629,533.684492111206,1000000000,60.686,176.35546875,0.0,38.634483107812876,0.9419782790541463
1788808152.7474542,algo/agrijpeg-light,img_0020,TEST,2496031,190176,13.124847509675249,True,0.0,0.0,0.0,0.05173683166503906,536.3578796386719,536.4775657653809,1000000000,60.148,171.6484375,0.0,38.589248397355874,0.9473091472238876
1788808154.8860357,algo/agrijpeg-light,img_0021,TEST,2584303,204216,12.654752810749402,True,0.0,0.0,0.0,0.0896453857421875,626.1115074157715,626.2962818145752,1000000000,61.224,173.859375,0.0,38.25122400249312,0.9461462985842912
1788808156.7576604,algo/agrijpeg-light,img_0022,TEST,2666833,217109,12.283383001165314,True,0.0,0.0,0.0,0.05340576171875,547.3160743713379,547.4345684051514,1000000000,60.148,180.65625,0.0,37.75980192875909,0.9438218550167039
1788808158.5771866,algo/agrijpeg-light,img_0023,TEST,2527898,194130,13.021676196363261,True,0.0,0.0,0.0,0.05936622619628906,533.7886810302734,533.9179039001465,1000000000,60.148,183.0234375,0.0,38.6549057208578,0.9480448579586209
1788808160.4965682,algo/agrijpeg-light,img_0024,TEST,2423825,183995,13.173319927171933,True,0.0,0.0,0.0,0.08368492126464844,554.833173751831,554.9938678741455,1000000000,60.148,179.1875,0.0,39.035301437075596,0.9496877601584522
