timestamp,node_id,image_id,algorithm,profile,psnr_db,ssim,mask_iou,mask_dice,cpu_time_ms,memory_kb,compressed_bytes,compression_ratio
2026-08-30T07:49:14.632296,1,img_0021,ADRES,Q,23.083,0.8277,0.8919,0.9429,2269.59,41572.0,58512.0,15.75
2026-08-30T07:49:14.632296,1,img_0021,ADRES,E,18.128,0.7382,0.8919,0.9429,2011.168,41572.0,35472.0,25.98
2026-08-30T07:49:20.504546,1,img_0022,ADRES,Q,23.13,0.8285,0.8919,0.9429,2310.04,41572.0,59191.0,15.57
2026-08-30T07:49:20.504546,1,img_0022,ADRES,E,18.164,0.7313,0.8919,0.9429,1979.556,41572.0,35298.0,26.11
2026-08-30T07:49:26.278289,1,img_0023,ADRES,Q,23.149,0.8319,0.8919,0.9429,2252.714,41572.0,60355.0,15.27
2026-08-30T07:49:26.278289,1,img_0023,ADRES,E,18.159,0.7425,0.8919,0.9429,1909.79,41572.0,36008.0,25.59
2026-08-30T07:49:32.302801,1,img_0024,ADRES,Q,23.159,0.831,0.8919,0.9429,2262.008,41572.0,62720.0,14.69
2026-08-30T07:49:32.302801,1,img_0024,ADRES,E,18.194,0.7399,0.8919,0.9429,1999.44,41572.0,36897.0,24.98
2026-08-30T07:49:41.706831,1,img_0025,ADRES,Q,24.45,0.8109,0.8757,0.9337,4150.088,41572.0,105610.0,8.73
2026-08-30T07:49:41.706831,1,img_0025,ADRES,E,20.297,0.6888,0.8757,0.9337,3406.758,41572.0,65900.0,13.98
2026-08-30T07:49:51.071165,1,img_0026,ADRES,Q,24.479,0.8111,0.8757,0.9337,4171.724,41588.0,105636.0,8.72
2026-08-30T07:49:51.071165,1,img_0026,ADRES,E,20.327,0.6874,0.8757,0.9337,3435.116,41588.0,65905.0,13.98
2026-08-30T07:50:00.285629,1,img_0027,ADRES,Q,24.439,0.8101,0.8757,0.9337,4121.418,41588.0,106012.0,8.69
2026-08-30T07:50:00.285629,1,img_0027,ADRES,E,20.293,0.6868,0.8757,0.9337,3386.126,41588.0,65933.0,13.98
2026-08-30T07:50:09.733554,1,img_0028,ADRES,Q,24.476,0.8103,0.8757,0.9337,4100.837,41588.0,106620.0,8.64
2026-08-30T07:50:09.733554,1,img_0028,ADRES,E,20.332,0.6883,0.8757,0.9337,3448.616,41588.0,66441.0,13.87
2026-08-30T07:50:18.029675,1,img_0029,ADRES,Q,25.665,0.8439,0.9391,0.9686,3695.427,41588.0,90139.0,10.22
2026-08-30T07:50:18.029675,1,img_0029,ADRES,E,20.518,0.7515,0.9391,0.9686,2895.635,41588.0,53352.0,17.27
2026-08-30T07:50:26.263259,1,img_0030,ADRES,Q,25.589,0.8428,0.9391,0.9686,3598.007,41588.0,90488.0,10.18
2026-08-30T07:50:26.263259,1,img_0030,ADRES,E,20.434,0.7497,0.9391,0.9686,2890.904,41588.0,53068.0,17.37
2026-08-30T07:50:34.398146,1,img_0031,ADRES,Q,25.656,0.8435,0.9391,0.9686,3584.275,41588.0,89215.0,10.33
2026-08-30T07:50:34.398146,1,img_0031,ADRES,E,20.475,0.7489,0.9391,0.9686,2862.774,41588.0,53030.0,17.38
2026-08-30T07:50:42.760570,1,img_0032,ADRES,Q,25.659,0.8434,0.9391,0.9686,3610.944,41588.0,89099.0,10.34
2026-08-30T07:50:42.760570,1,img_0032,ADRES,E,20.495,0.7506,0.9391,0.9686,2898.761,41588.0,53675.0,17.17
2026-08-30T07:50:50.951427,1,img_0033,ADRES,Q,24.847,0.8429,0.9287,0.963,3413.42,41588.0,84549.0,10.9
2026-08-30T07:50:50.951427,1,img_0033,ADRES,E,20.7,0.7442,0.9287,0.963,3055.987,41588.0,55364.0,16.65
2026-08-30T07:50:59.024503,1,img_0034,ADRES,Q,24.852,0.8428,0.9287,0.963,3418.593,41588.0,86108.0,10.7
2026-08-30T07:50:59.024503,1,img_0034,ADRES,E,20.727,0.7429,0.9287,0.963,3010.038,41588.0,54969.0,16.77
2026-08-30T07:51:07.099002,1,img_0035,ADRES,Q,24.881,0.843,0.9287,0.963,3361.923,41588.0,88515.0,10.41
2026-08-30T07:51:07.099002,1,img_0035,ADRES,E,20.715,0.7433,0.9287,0.963,2963.763,41588.0,56167.0,16.41
2026-08-30T07:51:15.250996,1,img_0036,ADRES,Q,24.886,0.8437,0.9287,0.963,3406.734,41588.0,87237.0,10.56
2026-08-30T07:51:15.250996,1,img_0036,ADRES,E,20.716,0.7439,0.9287,0.963,3018.552,41588.0,55921.0,16.48
2026-08-30T07:51:23.107531,1,img_0037,ADRES,Q,22.615,0.7928,0.8746,0.9331,3573.95,41588.0,88576.0,10.4
2026-08-30T07:51:23.107531,1,img_0037,ADRES,E,19.703,0.6828,0.8746,0.9331,2605.317,41588.0,49890.0,18.47
2026-08-30T07:51:31.239225,1,img_0038,ADRES,Q,22.585,0.7924,0.8746,0.9331,3561.76,41588.0,89287.0,10.32
2026-08-30T07:51:31.239225,1,img_0038,ADRES,E,19.689,0.6826,0.8746,0.9331,2662.434,41588.0,50064.0,18.41
2026-08-30T07:51:39.121654,1,img_0039,ADRES,Q,22.651,0.7933,0.8746,0.9331,3547.656,41588.0,89655.0,10.28
2026-08-30T07:51:39.121654,1,img_0039,ADRES,E,19.721,0.6832,0.8746,0.9331,2627.962,41588.0,50183.0,18.36
2026-08-30T07:51:47.040482,1,img_0040,ADRES,Q,22.616,0.7934,0.8746,0.9331,3539.995,41588.0,88572.0,10.41
2026-08-30T07:51:47.040482,1,img_0040,ADRES,E,19.724,0.6845,0.8746,0.9331,2630.513,41588.0,49463.0,18.63
2026-08-30T07:51:58.605897,1,img_0041,ADRES,Q,23.154,0.7972,0.803,0.8907,4435.253,41588.0,113557.0,8.12
2026-08-30T07:51:58.605897,1,img_0041,ADRES,E,19.887,0.698,0.803,0.8907,3654.201,41588.0,69455.0,13.27
2026-08-30T07:52:08.537906,1,img_0042,ADRES,Q,23.116,0.7983,0.803,0.8907,4507.975,41588.0,115905.0,7.95
2026-08-30T07:52:08.537906,1,img_0042,ADRES,E,19.82,0.6955,0.803,0.8907,3714.779,41588.0,70110.0,13.15
2026-08-30T07:52:18.678712,1,img_0043,ADRES,Q,23.201,0.7971,0.803,0.8907,4484.427,41588.0,112857.0,8.17
